name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
FLOR DO TUA TINTO,Flor do Tua Tinto,COSTA BOAL,100,2024,DOURO,4.28,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/flor-do-tua-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",FLORTUAT,False,Cave Lusa,2025-10-13T19:33:12.345428
QUINTA DOS CARVALHAIS ALFROCHEIRO TINTO,Quinta dos Carvalhais Alfrocheiro 1996 Tinto,QUINTA DOS CARVALHAIS,100,1996,DÃO,31.79,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/quinta-dos-carvalhais-alfrocheiro-1996-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",,False,Cave Lusa,2025-10-13T19:33:18.888772
TIAGO CABAÇO COM PREMIUM TINTO,Tiago Cabaço .com Premium Tinto,TIAGO CABAÇO WINERY,100,2024,ALENTEJO,4.95,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/tiago-cabaco-com-premium-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",1012255,False,Cave Lusa,2025-10-13T19:33:26.132909
FILIPA PATO DINAMICA TINTO,Filipa Pato Dinamica Tinto,FILIPA PATO,100,2024,BAIRRADA,11.41,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/filipa-pato-dinamica-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",04121,False,Cave Lusa,2025-10-13T19:33:31.262123
COVELA RESERVA TINTO,Covela Reserva Tinto,QUINTA DE COVELA,100,2013,VINHOS VERDES,25.63,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/covela-reserva-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",5600734431320,False,Cave Lusa,2025-10-13T19:33:36.192924
QUINTA DOS TERMOS ESCOLHA TINTO,Quinta dos Termos Escolha Tinto,QUINTA DOS TERMOS,100,2008,BEIRA INTERIOR,10.00,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/quinta-dos-termos-escolha-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",QTERMOS13,False,Cave Lusa,2025-10-13T19:33:43.354070
HERDADE DO PORTOCARRO PARTAGE TOURIGA FRANCA MAGNUM TINTO,Herdade do Portocarro Partage Touriga Franca Magnum Tinto,HERDADE DO PORTOCARRO,100,2008,SETÚBAL,74.13,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/herdade-do-portocarro-partage-touriga-franca-magnum-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",,False,Cave Lusa,2025-10-13T19:33:47.904746
CASAL DE SANTA MARIA COLARES RAMISCO TINTO,Casal de Santa Maria Colares Ramisco Tinto,CASAL SANTA MARIA,100,2007,LISBOA,34.52,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/casal-de-santa-maria-colares-ramisco-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",,False,Cave Lusa,2025-10-13T19:33:52.766969
QUINTAS DAS CORRIÇAS DOC TINTO,Quintas das Corriças DOC Tinto,QUINTA DAS CORRIÇAS,100,2012,TRÁS-OS-MONTES,4.49,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/quintas-das-corricas-doc-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",0708867,False,Cave Lusa,2025-10-13T19:33:57.606865
QUINTA SÃO JOÃO BATISTA TOURIGA NACIONAL SPECIAL SELECTION TINTO,QUINTA SÃO JOÃO BATISTA Touriga Nacional Special Selection Tinto,QUINTA SÃO JOÃO BATISTA,100,2007,TEJO,22.42,,TINTO,,,,https://www.cavelusa.pt/loja/vinho/portugueses/quinta-sao-joao-batista-touriga-nacional-special-selection-tinto/,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI2MDAiIGhlaWdodD0iNjAwIiB2aWV3Qm94PSIwIDAgNjAwIDYwMCI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgc3R5bGU9ImZpbGw6I2NmZDRkYjtmaWxsLW9wYWNpdHk6IDAuMTsiLz48L3N2Zz4=",,False,Cave Lusa,2025-10-13T19:34:04.964804
