name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
MURGANHEIRA CZAR CUVÉE BRUTO ESPUMANTE,2018 Espumante Murganheira Czar Cuvée Bruto rosé,CAVES MURGANHEIRA,100,2018,TÁVORA-VAROSA,"37,9",,ESPUMANTE,,13,,https://www.garrafeiranacional.com/vinho/2018-espumante-murganheira-czar-cuvee-bruto-rose.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/9/1/9100803-0.jpg,9100803,False,Garrafeira Nacional,2025-10-13T11:57:59.948086
QUINTA DO NOVAL CÃO (RÓTULO DANIFICADO) TINTO,2021 Quinta do Noval Tinto Cão tinto (rótulo danificado),QUINTA DO NOVAL,100,2021,DOURO,"39,5",,TINTO,,14,,https://www.garrafeiranacional.com/vinho/2021-quinta-do-noval-tinto-c-o-tinto-rotulo-danificado.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/9/6980456-0.jpg,6980456,False,Garrafeira Nacional,2025-10-13T11:57:59.962008
MARIA IZABEL VINHAS DA PRINCESA VINHAS VELHAS (RÓTULO DANIFICADO) TINTO, 2017 Maria Izabel Vinhas da Princesa Vinhas Velhas tinto (rótulo danificado),QUINTA MARIA IZABEL,100,2017,DOURO,"69,95",,TINTO,,"12,5",,https://www.garrafeiranacional.com/vinho/2017-maria-izabel-vinhas-da-princesa-vinhas-velhas-tinto-rotulo-danificado.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/9/6980446-0.jpg,6980446,False,Garrafeira Nacional,2025-10-13T11:57:59.962220
GONÇALVES FARIA (RÓTULO DANIFICADO) BRANCO, 2021 Gonçalves Faria branco (rótulo danificado),NIEPOORT,100,2021,BAIRRADA,"34,95",,BRANCO,,"11,5",,https://www.garrafeiranacional.com/vinho/2021-goncalves-faria-branco-rotulo-danificado.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/9/6980444-0.jpg,6980444,False,Garrafeira Nacional,2025-10-13T11:57:59.962383
NIEPOORT QUINTA DE BAIXO POEIRINHO BAGA (RÓTULO DANIFICADO) TINTO, 2015 Niepoort Quinta de Baixo Poeirinho Baga tinto (rótulo danificado),NIEPOORT,100,2015,BAIRRADA,"32,95",,TINTO,,"11,5",,https://www.garrafeiranacional.com/vinho/2015-niepoort-quinta-de-baixo-poeirinho-baga-tinto-rotulo-danificado-6980431.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/9/6980431-0.jpg,6980431,False,Garrafeira Nacional,2025-10-13T11:57:59.962525
QUINTA DA TOURIGA CHÃ (RÓTULO DANIFICADO) TINTO, 2014 Quinta da Touriga-Chã tinto (rótulo danificado),JORGE ROSAS,100,2014,DOURO,95,,TINTO,,"14,5",,https://www.garrafeiranacional.com/vinho/2014-quinta-da-touriga-ch-tinto-rotulo-danificado.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/9/6980420-0.jpg,6980420,False,Garrafeira Nacional,2025-10-13T11:57:59.962678
QUINTA DO MOURO (RÓTULO DOURADO DANIFICADO) TINTO, 2019 Quinta do Mouro tinto (rótulo dourado danificado),QUINTA DO MOURO,100,2019,ALENTEJO,"96,95",,TINTO,,14,,https://www.garrafeiranacional.com/vinho/2019-quinta-do-mouro-tinto-rotulo-dourado-danificado-6980412.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/9/6980412-0.jpg,6980412,False,Garrafeira Nacional,2025-10-13T11:57:59.962824
QUINTA DO MOURO (RÓTULO DOURADO DANIFICADO) TINTO, 2019 Quinta do Mouro tinto (rótulo dourado danificado),QUINTA DO MOURO,100,2019,ALENTEJO,"96,95",,TINTO,,14,,https://www.garrafeiranacional.com/vinho/2019-quinta-do-mouro-tinto-rotulo-dourado-danificado.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/9/6980411-0.jpg,6980411,False,Garrafeira Nacional,2025-10-13T11:57:59.973570
MOUCHÃO (NÍVEL BAIXO) TINTO, 1974 Mouchão tinto (nível baixo),HERDADE DO MOUCHÃO,100,1974,ALENTEJO,149,,TINTO,,"13,5",,https://www.garrafeiranacional.com/vinho/1974-mouch-o-tinto-nivel-baixo-6203447.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/2/6203447-0.jpg,6203447,False,Garrafeira Nacional,2025-10-13T11:57:59.973741
QUINTA DE CIDRÔ ROSÉ, 2024 Quinta de Cidrô rosé,REAL COMPANHIA VELHA,100,2024,DOURO,"14,95",,ROSÉ,,13,,https://www.garrafeiranacional.com/vinho/2024-quinta-do-cidro-rose.html,https://www.garrafeiranacional.com/media/catalog/product/cache/2675a1e349f73a25c4c6d972470331af/6/0/6070303-0.jpg,6070303,False,Garrafeira Nacional,2025-10-13T11:57:59.973891
