name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
CARTUXA TINTO,Vinho Tinto Cartuxa 2020 75 Cl,FUNDAÇÃO EUGÉNIO DE ALMEIDA,100,2020,ALENTEJO,"19,95",,TINTO,"Aragonês, Trincadeira, Alicante Bouschet","14,5","Este vinho associa a sua qualidade ao nome dos monges Cartuxos que, desde 1598, praticaram uma vida solitária de oração no Convento de Santa Maria Scala Coeli, em Évora. Foi produzido pela primeira vez em 1986.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-cartuxa-2020-75-cl/item_64647.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1710245143_785865d0df5843d35d425107aca43b67.jpg,2017556,False,Garrafeira Soares,2025-10-13T19:36:40.397455
MEANDRO TINTO,Vinho Tinto Meandro 2021 75 Cl,QUINTA DO VALE MEÃO,100,2021,DOURO,"13,95",,TINTO,"Touriga Nacional, Touriga Franca, Tinta Roriz,Tinta Barroca, Alicante Bouschet",14,"O Meandro Tinto é um blend das castas Touriga Nacional, Touriga Franca, Tinta Roriz, Tinta Barroca e Alicante Bouschet. Apresenta excelente cor, muito viva.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-meandro-2021-75-cl/item_11809.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1610620206_4c614ea1aee0e358603003a7350cbd2d.jpg,2056074,False,Garrafeira Soares,2025-10-13T19:36:40.400497
MOUCHÃO TINTO,Vinho Tinto Mouchão 2016 75 Cl,HERDADE DO MOUCHÃO,100,2016,ALENTEJO,"48,95",,TINTO,"Alicante Bouschet , Trincadeira",15,"É o vinho de referência da herdade, desde que se engarrafou a primeira colheita em 1949, e que reflecte o temperamento singular da adega.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-mouchao-2016-75-cl/item_58969.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1697734293_bd0a8b52caa12933add7aedfe3ee980e.jpg,2018234,False,Garrafeira Soares,2025-10-13T19:36:40.400668
PALPITE TINTO,Vinho Tinto Palpite 2021 75 Cl,ANTÓNIO MAÇANITA,100,2021,VINHOS VERDES,"21,95",,TINTO,"Alicante Bouschet, Aragonez, Castelão, Trincadeira","14,5","Palpite é o que está na alma do enólogo, expressar um equilíbrio entre as uvas, o 'Terroir' e a intuição do homem. Em cada vindima, o Palpite é produzido pela seleção dos melhores blocos de vinha e das melhores barricas.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-palpite-2021-75-cl/item_56440.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1696949927_6243dcf11562b271fddfeedebdf77e88.jpg,2016323,False,Garrafeira Soares,2025-10-13T19:36:40.400818
NIEPOORT POEIRINHO BAGA BIOLOGICO TINTO,Vinho Tinto Niepoort Poeirinho Baga Biologico 2020 75 Cl,NIEPOORT,100,2020,BAIRRADA,"33,95",,TINTO,Baga,"11,5","O Poeirinho é um vinho produzido apenas com uvas das nossas vinhas da Quinta de Baixo, onde praticámos viticultura biológica, com certificação SATIVA. Poeirinho, cujo nome é a antiga designação da casta Baga, é um tributo aos grandes vinhos bairradinos do passado, que eram leves na cor e no grau alcoólico, mas que tinham um enorme potencial de envelhecimento. A grande paixão de Dirk Niepoort por esta casta e pelo fantástico terroir da Bairrada, fez com que ao longo dos últimos anos, procurasse p...",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-niepoort-poeirinho-baga-biologico-2020-75-cl/item_56202.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1707137721_fe70372e5d9acbaebcd1675164009327.jpg,2036821,False,Garrafeira Soares,2025-10-13T19:36:40.400950
CHAO EREMITAS TINTA CARVALHA TINTO,Vinho Tinto Chao Eremitas Tinta Carvalha 2020 75 Cl,ANTÓNIO MAÇANITA,100,2020,ALENTEJO,"23,77","33,95",TINTO,Tinta Carvalha,12,"As uvas, em solos graníticos e em regime de proteção integrado, são selecionadas em uma mesa de escolha, 30% de cachos inteiros de 70% desengatados, caem por gravidade no tanque. Fermentação espontânea e maceração de 40 dias em peles, seguida de 12 meses de envelhecimento em cubas de inox. Uma Tinta Carvalha 100%, o único vinho 100% desta variedade em Portugal. 2449 garrafas produzidas.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-chao-eremitas-tinta-carvalha-2020-75-cl/item_13178.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1643978768_0595d71f6ee62de04eed067dfec3864b.jpg,2016392,False,Garrafeira Soares,2025-10-13T19:36:40.401105
BEYRA GRANDE RESERVA TINTO,Vinho Tinto Beyra Grande Reserva 2021 75 Cl,RUI ROBOREDO MADEIRA,100,2021,BEIRA INTERIOR,"27,95",,TINTO,"Tinta Roriz, Tempranillo, Touriga Nacional, Jaen, Mencia",15,"Uvas com origem em vinhas plantadas em solos argiloxistosos, com idade média de 40 anos, no planalto da Beira Interior na bacia hidrográfica do Rio Douro em pleno Parque Natural do Douro Internacional, a uma altitude acima dos 750 metros. Seleccionámos as melhores uvas de Tinta Roriz perfeitamente adaptada à altitude e em função dos anos quantidades variáveis de Touriga Nacional e Jaen completam o lote, conferindo complexidade e elegância.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-beyra-grande-reserva-2021-75-cl/item_62100.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1707324108_c74f4a568d80b1a16e26f75c762f4b1f.jpg,2038153,False,Garrafeira Soares,2025-10-13T19:36:40.401234
ARCO D' AGUIEIRA TINTO,Vinho Tinto Arco D' Aguieira 75 Cl,AVELEDA,100,0,BAIRRADA,"14,79",,TINTO,Touriga Nacional; Cabernet Sauvignon; Tinta Roriz,13,"Vinhos Singulares, desenhados com Tempo. Em 1997, numa quinta situada em Águeda, na região da Bairrada, nasce a ideia entre um mosaico incrível de micro-terroirs. Este projeto singular, desenhado com tempo, ganha vida em 2020 e apresenta-nos 4 vinhos extraordinários que surpreendem até pela sua notável capacidade de evolução.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-arco-d-aguieira-75-cl/item_11980.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1617795938_99a0c3ef0448e27531fb0b0494109c49.jpg,2036060,False,Garrafeira Soares,2025-10-13T19:36:40.401361
CASTELLO D'ALBA SUPERIOR TINTO,Vinho Tinto Castello D'Alba Superior 75 Cl,RUI ROBOREDO MADEIRA,100,0,DOURO,"12,95",,TINTO,"Touriga Nacional, Touriga Franca, Tinta Roriz","14,5","Lote de uvas de uma selecção das castas Touriga Nacional, Touriga Franca e Tinta Roriz. / Solos xistosos do Douro Superior. Estágio de 10 meses em barricas de carvalho francês.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-castello-dalba-superior-75-cl/item_12486.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1756995303_5712f698f09c2d3a4ad4124d909705e6.jpg,2054261,False,Garrafeira Soares,2025-10-13T19:36:40.401502
EUGENIO DE ALMEIDA TINTO,Vinho Tinto Eugenio De Almeida 75 Cl,FUNDAÇÃO EUGÉNIO DE ALMEIDA,100,0,ALENTEJO,"4,59",,TINTO,"Aragonez, Trincadeira, Alicante Bouschet, Syrah","13,5","Produzido a partir das castas Aragonez, Trincadeira, Alicante Bouschet e Castelão plantadas nas vinhas da Fundação Eugénio de Almeida. Quando as uvas atingem o estado de maturação ideal, são colhidas e transportadas para a adega, onde se inicia o processo tecnológico com desengace total e ligeiro esmagamento. A fermentação ocorre em cubas de aço inox a temperatura controlada de 24-27ºC. Após a fermentação procede-se a filtrações, loteamentos, estabilização tartárica, filtração final e engarrafam...",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-eugenio-de-almeida-75-cl/item_9206.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1756895769_c78e81772b61965656c23a563a75cf41.jpg,2017511,False,Garrafeira Soares,2025-10-13T19:36:40.401623
CARM TINTO,Vinho Tinto Carm 75 Cl,CARM,100,0,DOURO,"7,95",,TINTO,"Tinta Roriz, Touriga Franca, Touriga Nacional","13,5","Na nossa adega, com a mais moderna tecnologia e controlo total de temperatura, eliminámos cachos que não se encontravam em perfeitas condições, desengace total, esmagamento suave e choque térmico, seguindo-se então um período de maceração pré-fermentativa a frio em lagar por cerca de 12 a 24h, após o que as massas foram transferidas para cubas de fermentação largas e baixas, maceração por 8 dias a 22ºC.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-tinto-carm-75-cl/item_10303.html?id=202&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1663920042_9fb2f2be83fe1b16dc40f3747a9e66cc.jpg,2052011,False,Garrafeira Soares,2025-10-13T19:36:40.401764
MIRABILIS BRANCO,Vinho Branco Mirabilis 2022 75 Cl,QUINTA NOVA,100,2022,DOURO,"54,95",,BRANCO,"Viosinho, Gouveio, Vinha Centenária",14,"(PRODUTO LIMITADO A 1 GARRAFA POR CLIENTE) O Mirabilis é elaborado com uvas de pequenas vinhas centenárias onde predominam o Viosinho e o Gouveio, mas também variadíssimas outras castas de escassíssima produção, já quase inexistentes na região.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-mirabilis-2022-75-cl/item_12047.html?id=203&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1717068753_c6336b9e2bb8324bb7ffe3061065bb78.jpg,2259403,False,Garrafeira Soares,2025-10-13T19:36:41.475607
PERA MANCA BRANCO,Vinho Branco Pera Manca 2021 75 Cl,FUNDAÇÃO EUGÉNIO DE ALMEIDA,100,2021,ALENTEJO,"64,95",,BRANCO,"Antão Vaz, Arinto",13,"Excelência, qualidade e individualidade, num estilo muito próprio que marca a diferença e define um clássico do Alentejo. A aposta da Fundação Eugénio de Almeida na criação de produtos de excelência tem sido reconhecida ao longo dos últimos anos com diversos prémios.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-pera-manca-2021-75-cl/item_11828.html?id=203&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1696324064_bcb913ac6ad16e8f69a756ad85c47303.jpg,2217603,False,Garrafeira Soares,2025-10-13T19:36:41.475795
QUINTA FONTE SOUTO 1 5 L BRANCO,Vinho Branco Quinta Fonte Souto 2021 1.5 L,QUINTA DA FONTE SOUTO,100,2021,ALENTEJO,"29,37","41,95",BRANCO,"Arinto, Verdelho","14,5","Situada nas encostas do Parque Natural da Serra de São Mamede, perto de Portalegre, as vinhas de Fonte Souto  plantadas entre os 490 e os 550 metros de altitude  beneficiam de condições de maior frescura e humidade do que as zonas da quente planície alentejana. Os solos de transição entre o xisto e o granito, com predominância do xisto, asseguram um equilíbrio ideal entre bons níveis de retenção de água e boa drenagem. Os vinhos expressam a frescura e o equilíbrio que derivam das cotas elevada...",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-quinta-fonte-souto-2021-1.5-l/item_61865.html?id=203&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1732116757_9c848d775a7e8e2f78651e4c4e83251a.jpg,2218115,False,Garrafeira Soares,2025-10-13T19:36:41.475956
PLANALTO BRANCO,Vinho Branco Planalto 75 Cl,CASA FERREIRINHA,100,0,DOURO,"5,15",,BRANCO,"Viosinho, Malvasia Fina, Gouveio, Arinto, Codega De Larinho, Moscatel, Rabigato","12,5","Planalto é uma das maiores referências de vinho branco na Região Demarcada do Douro, fruto dos profundos estudos efectuados ao longo dos anos, da criteriosa escolha das castas que o compõem e do uso da melhor tecnologia de vinificação na sua produção.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-planalto-75-cl/item_10771.html?id=203&cat=254&pc=1,https://www.garrafeirasoares.pt/temp/1593778787_8ccb3cb5b9194d155a24cc93d4b315d8.jpg,2255021,False,Garrafeira Soares,2025-10-13T19:36:41.476093
