name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
100 HECTARES 17 GRAUS TINTO,100 Hectares 17 Graus Tinto 2021,100 HECTARES,100,2021,DOURO,"36,15",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/10685-100-hectares-17-graus-red-2017-5600841732778.html,https://www.portugalvineyards.com/95990-home_default/100-hectares-17-graus-red-2017.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.418887
100 HECTARES 17 5 GRAUS TINTO,"100 Hectares 17,5 Graus Tinto 2021",100 HECTARES,100,2021,DOURO,"41,35",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/24498-100-hectares-175-graus-red-2019-5600841732778.html,https://www.portugalvineyards.com/112581-home_default/100-hectares-175-graus-red-2019.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.429680
100 HECTARES 18 GRAUS RESERVA TINTO,100 Hectares 18 graus Reserva Tinto 2021,100 HECTARES,100,2021,DOURO,"47,75",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/16619-100-hectares-18-graus-reserve-red-2018-5600841729990.html,https://www.portugalvineyards.com/103533-home_default/100-hectares-18-graus-reserve-red-2018.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.429876
100 HECTARES ALICANTE BOUSCHET UNOAKED TINTO,100 Hectares Alicante Bouschet Unoaked Tinto 2021,100 HECTARES,100,2021,DOURO,"19,75",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/23758-100-hectares-alicante-bouschet-unoaked-red-2021-5600841732969.html,https://www.portugalvineyards.com/114374-home_default/100-hectares-alicante-bouschet-unoaked-red-2021.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.430013
100 HECTARES BRANCO,100 Hectares Branco 2024,100 HECTARES,100,2024,DOURO,"10,25",,BRANCO,,,,https://www.portugalvineyards.com/pt/douro/6059-100-hectares-white-2018-5600841732150.html,https://www.portugalvineyards.com/95891-home_default/100-hectares-white-2018.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.430137
100 HECTARES CÓDEGA DO LARINHO BRANCO,100 Hectares Códega do Larinho Branco 2023,100 HECTARES,100,2023,DOURO,"12,75",,BRANCO,,,,https://www.portugalvineyards.com/pt/douro/7018-100-hectares-codega-do-larinho-white-2018-5600841732273.html,https://www.portugalvineyards.com/111413-home_default/100-hectares-codega-do-larinho-white-2018.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.430259
100 HECTARES CURTIMENTA BRANCO,100 Hectares Curtimenta Branco 2018,100 HECTARES,100,2018,DOURO,"18,65",,BRANCO,,,,https://www.portugalvineyards.com/pt/douro/10963-100-hectares-curtimenta-white-2017-5600841732310.html,https://www.portugalvineyards.com/109948-home_default/100-hectares-curtimenta-white-2017.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.430384
100 HECTARES FILIGRANA GRANDE RESERVA BRANCO,100 Hectares Filigrana Grande Reserva Branco 2022,100 HECTARES,100,2022,DOURO,"24,65",,BRANCO,,,,https://www.portugalvineyards.com/pt/douro/24499-100-hectares-filigrana-grand-reserve-white-2020-5600841730064.html,https://www.portugalvineyards.com/123196-home_default/100-hectares-filigrana-grand-reserve-white-2020.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.430500
100 HECTARES FILIGRANA TINTO,100 Hectares Filigrana Tinto 2021,100 HECTARES,100,2021,DOURO,"26,25",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/7548-100-hectares-filigrana-red-2016-5600841732747.html,https://www.portugalvineyards.com/101560-home_default/100-hectares-filigrana-red-2016.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.430617
100 HECTARES GRANDE RESERVA TINTO,100 Hectares Grande Reserva Tinto 2019,100 HECTARES,100,2019,DOURO,"26,25",,TINTO,,,,https://www.portugalvineyards.com/pt/douro/6580-100-hectares-grand-reserve-red-2016-5600841732921.html,https://www.portugalvineyards.com/90837-home_default/100-hectares-grand-reserve-red-2016.jpg,,False,Portugal Vineyards,2025-10-13T15:07:42.430734
